title,rating,year,wins,nominations,news,reviews
The Making of 'Event Horizon' (Video 2006),7.9,2006,0,0,0,5
Timeshift (TV Series 2002– ),7.5,2002,0,0,0,0
Der blonde Tiger (1949),7.3,1949,0,0,0,50
Fong juk (2006),7.4,2006,7,12,42,25
The Babysitters (2007),5.8,2007,0,0,10,23
Talk to Me (2007),7.4,2007,8,13,282,56
You Kill Me (2007),6.5,2007,1,3,45,74
13 (2010),6.1,2010,1,0,0,79
Fashion Police (TV Series 2002– ),6.2,2002,0,0,0,5
Die Zauberer vom Waverly Place (TV Series 2007–2012),6.7,2007,34,48,1394,78
Erde in Flammen (1949),6.3,1949,0,0,0,21
The Bridge (2006),7.3,2006,0,0,0,79
Wie ich das Ende der Welt erlebte (2006),7.3,2006,3,1,8,23
Nie wieder Sex mit der Ex (2008),7.3,2008,2,11,2248,313
The Hills Have Eyes 2 (2007),5.1,2007,0,0,110,205
Skills Like This (2007),6.6,2007,5,0,9,11
Die Bette Davis-Story (TV Movie 2006),8.1,2006,0,1,0,10
Transsiberian (2008),6.7,2008,2,11,225,145
20 to 1 (TV Series 2005– ),6.3,2005,0,0,0,4
Sklavin des Herzens (1949),6.2,1949,1,0,17,48
"Tucker James\, der Highschool-Blitz Apeward Bound (TV Episode)",,,0,0,0,0
Heroes (TV Series 2006– ),7.4,2006,0,0,0,0
Topjob - Showdown im Supermarkt (2008),5.7,2008,0,0,70,52
Red Dog - Ein Held auf vier Pfoten (2011),7.5,2011,9,15,171,74
Ultimate Avengers II (Video 2006),6.8,2006,0,0,0,20
Asylum (2008),4,2008,0,0,42,33
The Hottie & the Nottie (2008),1.9,2008,3,4,5,100
Married Life (2007),6.3,2007,0,0,5,48
La terza madre (2007),5.2,2007,0,0,148,102
P2 - Schreie im Parkhaus (2007),5.9,2007,0,0,234,145
Machtlos (2007),6.8,2007,1,2,228,188
Sleep Dealer (2008),5.9,2008,4,6,92,38
w Delta z (2007),5.7,2007,0,0,16,45
Louis de Funès - Die Macht des Lachens (TV Movie 2003),6.9,2003,0,0,0,0
Rita Hayworth: The Columbia Lady (Video 2000),6.9,2000,0,0,0,1
The Black Donnellys (TV Series 2007– ),8.2,2007,0,0,76,58
Jericho - Der Anschlag (TV Series 2006–2008),8.1,2006,0,5,530,165
Men in Trees (TV Series 2006–2008),7.3,2006,0,0,0,38
Shark (TV Series 2006–2008),7.1,2006,0,2,330,31
Alles Betty! (TV Series 2006–2010),6.5,2006,43,92,3498,85
Heyy Babyy (2007),5.6,2007,0,0,0,31
A Woman's Secret (1949),6.1,1949,0,0,0,29
Carriers (2009),6.1,2009,0,0,354,114
Die Echten Ghostbusters They Call Me Mister Slimer (TV Episode 1987),6.2,1987,0,0,0,0
Zomergasten Episode #5.1 (TV Episode 1992),,1992,0,0,0,0
Tatort (TV Series 1969– ),7.4,1969,72,93,19,2
2005 Glitter Awards (Video 2005),6.2,2005,0,0,0,0
American Pie präsentiert: Nackte Tatsachen (Video 2006),5.1,2006,0,0,7,88
Bas Ek Pal (2006),6.1,2006,0,0,0,12
The Colgate Comedy Hour (TV Series 1950–1955),7,1955,0,4,13,6
Funny Games U.S. (2007),6.4,2007,3,2,370,417
Kogitsune Heren (2006),7.1,2006,0,0,0,3
Gefahr und Begierde (2007),7.6,2007,15,35,24,150
Das Mädchen\,http://www.imdb.com/title/tt0808506/,5880,video.movie,8,5,2
Zahnfee auf Bewährung (2010),5,2010,1,4,1006,62
Life During Wartime (2009),6.5,2009,3,5,358,36
The Honeymooners (TV Series 1955–1956),8.6,1956,2,7,67,30
Pepper Dennis Hiroshi Watanabe in Bed with Curtis Wilson: Film at Eleven (TV Episode 2006),7.2,2006,0,0,0,0
Hilde (2009),6.7,2009,0,0,11,2
The Unbeatable Bruce Lee (Video 2001),7.3,2001,0,0,0,0
Leergut (2007),7.3,2007,8,10,0,10
Bright Star - Meine Liebe. Ewig. (2009),7,2009,16,39,1000,105
Burn Notice (TV Series 2007–2013),8,2007,7,11,2705,136
The Jack Benny Program (TV Series 1950–1965),8.3,1965,7,13,21,15
Heißer Verdacht - Das Finale (TV Movie 2006),8.4,2006,7,8,18,17
Shootout at Lokhandwala (2007),7,2007,3,1,0,34
Shut Up & Sing (2006),7.7,2006,10,6,20,80
Der Do-Deca-Pentathlon (2012),6,2012,0,0,65,5
What's My Line? (TV Series 1950–1967),8.4,1967,3,2,0,23
Hak kuen (2006),6.6,2006,0,0,0,16
Erlöse uns von dem Bösen (2006),8,2006,7,6,256,51
Macbeth (TV Movie 2001),7.4,2001,0,0,0,2
Spring Breakdown (2009),4.9,2009,0,0,77,16
Stepfather (2009),5.5,2009,0,0,206,106
You Bet Your Life (TV Series 1950–1961),7.9,1961,0,0,22,14
Zu scharf\,http://www.imdb.com/title/tt0815236/,6240,video.movie,0,26,652
Religulous (2008),7.8,2008,2,1,135,330
Cinéma\,http://www.imdb.com/title/tt0815353/,,video.tv,4,2,0
Munich: Memories of the Event (Video 2006),7.3,2006,0,0,0,0
It Takes Two (TV Series 2006– ),5.2,2006,0,0,0,3
Lake Mungo (2008),6.1,2008,0,0,104,71
Svengoolie Curse of the Faceless Man (TV Episode 1995),,1995,0,0,0,0
Milyang (2007),7.5,2007,10,5,9,24
The Tattooist (2007),5.2,2007,0,0,5,23
Valentinstag (2010),5.8,2010,6,12,18,199
The Power of Few (2013),5.3,2013,0,0,23,23
Saturday Night Live: The Best of Saturday TV Funhouse (Video 2006),6.5,2006,0,0,0,1
Traffic Signal (2007),6.6,2007,2,0,0,12
Meatball Machine (2005),5.8,2005,0,0,0,18
A3 - Rock'n'Roll uzvraca udarac (2006),4.7,2006,0,0,0,8
Come Dine with Me (TV Series 2005– ),7.3,2005,2,6,0,11
Belle - Der Weg zum Glück (2008),5.9,2008,2,0,7,10
Mystery Science Theater 3000 Gamera vs. Gaos (TV Episode 1991),7.9,1991,0,0,0,0
Gesetzlos (1950),6.5,1950,0,0,0,19
Blade - Die Jagd geht weiter (TV Series 2006– ),6.6,2006,0,0,46,51
Tinkerbell (Video 2008),6.8,2008,0,0,294,19
Les femmes de l'ombre (2008),6.8,2008,0,0,3,25
Howard Stern on Demand Dustin Diamond Needs Money (TV Episode 2006),6.2,2006,0,0,0,0
Counter Investigation - Kein Mord bleibt ungesühnt (2007),6.5,2007,0,0,0,11
Le voyage du ballon rouge (2007),6.6,2007,3,5,7,36
Kommissarin Lund (TV Series 2007–2012),8.3,2007,8,8,106,56
Never Sleep Again: The Making of 'A Nightmare on Elm Street' (Video 2006),7.8,2006,0,0,0,1
Diary of a Cannibal (Video 2007),1.5,2007,0,0,0,15
Blood Tea and Red String (2006),6.9,2006,1,0,0,14
Rachael Ray (TV Series 2006– ),4.4,2006,3,22,378,13
Blues Busters (1950),7.3,1950,0,0,0,8
Molly: An American Girl on the Home Front (TV Movie 2006),7,2006,1,4,0,14
Family Guy Whistle While Your Wife Works (TV Episode 2006),7.9,2006,0,0,0,1
The Greatest Gift (1942),6.2,1942,0,0,0,8
Das Heldenmädchen von Trenton (1924),8.1,1924,0,0,0,5
Der gebrochene Pfeil (1950),7.3,1950,2,2,6,46
Overnight (2007),5,2007,0,0,0,2
Friends The One After the Superbowl: Part 2 (TV Episode 1996),8.7,1996,0,0,0,2
Loose Change: Second Edition (Video 2005),7.2,2005,0,0,0,103
The Spirit (2008),4.8,2008,0,0,924,279
Tekkon kinkurîto (2006),7.7,2006,3,1,6,27
Annually Retentive Episode #1.5 (TV Episode 2006),7.7,2006,0,0,0,0
Jhoom Barabar Jhoom (2007),3.8,2007,0,0,0,56
The Killer (2006),4.4,2006,0,0,0,8
Underworld - Aufstand der Lykaner (2009),6.6,2009,0,0,409,160
A Four Letter Word (2007),5.6,2007,3,0,5,6
In Treatment - Der Therapeut (TV Series 2008– ),8.3,2008,5,32,1161,34
Nocturna (2007),7.5,2007,2,1,0,7
Der rosarote Panther 2 (2009),5.5,2009,0,0,251,104
2006 Glitter Awards (Video 2006),5.8,2006,0,0,0,0
Colorado Ranger (1950),5.9,1950,0,0,0,2
Semi-Pro (2008),5.8,2008,1,4,187,113
Comedy Central Roast of William Shatner (TV Movie 2006),7.4,2006,0,0,0,17
Forever Strong (2008),7.3,2008,1,0,16,40
Sex in the 70s Blue Movies (TV Episode 2005),8.4,2005,0,0,0,0
2 Tage Paris (2007),6.9,2007,2,5,9,102
Hannah Takes the Stairs (2007),5.5,2007,0,0,139,20
Kingdom (TV Series 2007– ),7.9,2007,0,0,346,17
Chatrapathi (2005),7.5,2005,0,0,0,2
Brothers Bloom (2008),6.9,2008,0,0,922,95
Wolkig mit Aussicht auf Fleischbällchen (2009),7,2009,1,10,2085,150
The Collector (2009),6.4,2009,0,0,442,176
Legend of the Seeker - Das Schwert der Wahrheit (TV Series 2008–2010),7.6,2008,1,2,449,300
Last House on the Left (2009),6.6,2009,1,3,572,264
Higurashi no naku koro ni (TV Series 2006– ),8.3,2006,0,0,0,17
Helvetica (2007),7.2,2007,0,0,58,30
Im Solde des Satans (1950),7.1,1950,0,0,0,41
Diary of the Dead (2007),5.8,2007,1,0,352,324
Sakkarakatti (2007),3.1,2007,1,1,0,1
Ein Tag blau (Video 2008),4.9,2008,0,0,5,11
Shaggy & Scooby-Doo Get a Clue! (TV Series 2006– ),4.1,2006,0,0,0,19
Fuori orario. Cose (mai) viste (TV Series 1988– ),6.6,1988,0,0,0,0
Fengkuang de saiche (2009),7.5,2009,2,5,0,4
Terminator: S. C. C. (TV Series 2008–2009),7.7,2008,1,19,1428,296
House Bunny (2008),5.5,2008,0,0,758,118
Phineas und Ferb (TV Series 2007– ),8,2007,1,25,504,58
Il nascondiglio (2007),6.1,2007,0,0,0,6
Deutschland. Ein Sommermärchen (2006),7,2006,3,0,6,10
Wer war Stuart Shorter? (TV Movie 2007),8.1,2007,6,1,0,14
Taxi to the Dark Side (2007),8,2007,9,3,266,35
Invisible Children (2006),7.9,2006,0,0,0,2
Sharkwater - Wenn Haie sterben (2006),8,2006,13,3,9,35
Inside (2007),6.9,2007,8,3,24,227
Basilisk: Kôga ninpô chô (TV Series 2005– ),8,2005,0,0,3,8
Ghost in the Shell - Stand Alone Complex 2nd GIG (TV Movie 2006),7.9,2006,0,0,9,9
The Crime (2012),6.2,2012,0,0,143,74
Ein Sommer in New York - The Visitor (2007),7.7,2007,19,24,843,159
Gabriel - Die Rache ist mein (2007),5.7,2007,2,1,50,103
Vikramarkudu (2006),7.5,2006,0,0,0,2
Die Mumie - Das Grabmal des Drachenkaisers (2008),5.2,2008,2,6,367,493
Sanxia haoren (2006),7.3,2006,9,6,169,32
Evangerion shin gekijôban: Ha (2009),8.1,2009,0,0,0,17
Evangerion shin gekijôban: Kyu (2012),6.9,2012,0,0,0,18
Beavis and Butt-Head Whiplash (TV Episode 1995),7.5,1995,0,0,0,0
The Bigger Picture Episode #3.7 (TV Episode 2006),,2006,0,0,0,0
Der Rebell (1950),7,1950,0,0,2,25
Flight of the Conchords (TV Series 2007– ),8.8,2007,2,10,567,27
Frisky Dingo (TV Series 2006– ),8.3,2006,0,0,39,12
Der Jane Austen Club (2007),6.9,2007,0,0,70,53
Verliebt in die Braut (2008),5.8,2008,0,0,159,96
Eastbound & Down (TV Series 2009– ),8.3,2009,0,0,17,29
Scooby-Doo! Pirates Ahoy! (Video 2006),6.6,2006,0,0,0,6
Friday Night with Jonathan Ross Episode #11.5 (TV Episode 2006),8.5,2006,0,0,0,0
So ist Paris (2008),6.9,2008,0,0,0,38
Spaceballs: The Animated Series (TV Series 2008– ),4.6,2008,0,0,6,10
Robot Chicken The Munnery (TV Episode 2006),7.7,2006,0,0,0,1
Baby Mama (2008),6.1,2008,1,4,25,95
Biography Audie Murphy: Great American Hero (TV Episode 1996),6.5,1996,0,0,0,0
Ghosts (2006),7.4,2006,1,2,0,12
Red State (2011),6.2,2011,3,1,1821,269
Life (TV Series 2007–2009),8.3,2007,2,3,20,66
Nine (2009),5.9,2009,7,39,2049,227
Desu nôto (TV Series 2006–2007),9,2006,0,0,0,99
Please Give (2010),6.6,2010,6,12,778,51
Wilde Jahre in Lawrenceville (1950),7,1950,0,0,0,17
Game K N B Celebrity Fathers (TV Episode 2006),,2006,0,0,0,0
The Ministers - Mein ist die Rache (2009),4.5,2009,0,0,9,13
Verrückt nach Steve (2009),4.8,2009,2,3,696,134
Snitch - Ein riskanter Deal (2013),6.5,2013,0,0,596,109
Mein Freund Harvey (1950),8.1,1950,1,4,156,185
13 game sayawng (2006),6.8,2006,5,9,0,25
Pars: Operation Cherry (2007),6.2,2007,0,0,0,5
I Love New York (TV Series 2007– ),4.7,2007,0,0,178,12
Awesometown (TV Short 2005),8,2005,0,0,0,1
Brüno (2009),5.9,2009,2,4,541,388
Die Kinder der Seidenstrasse (2008),7.1,2008,1,3,13,32
Trumbo (2007),7.5,2007,1,0,116,13
Saw 4 (2007),5.9,2007,1,6,412,307
Street Fighter: The Legend of Chun-Li (2009),3.7,2009,0,0,195,176
Abenteuer eines Pechvogels (1950),6.7,1950,0,0,0,16
Eli Stone (TV Series 2008–2009),7.7,2008,1,5,425,42
Die Pinguine aus Madagascar (TV Series 2008– ),7.7,2008,18,31,183,16
Kiss the Bride (2007),5.7,2007,0,0,4,10
Shine a Light (2008),7.2,2008,0,0,171,65
Franklyn (2008),6.2,2008,0,0,68,66
Intimate Portrait (TV Series 1993– ),6.8,1993,2,5,40,0
Tori & Dean: Inn Love (TV Series 2007– ),5.7,2007,0,0,10,1
Making 'Sólo con tu pareja' (Video 2006),6.5,2006,0,0,0,0
The Whistleblower (2010),7.2,2010,6,9,283,71
The Echo (2008),5.7,2008,0,0,16,25
The Big Bang Theory (TV Series 2007– ),8.7,2007,29,94,7902,294
Samantha Who? (TV Series 2007–2009),7.5,2007,5,13,50,13
Love Happens (2009),5.6,2009,0,0,398,78
Saturday Night Live: The Best of Jon Lovitz (TV Movie 2005),7.1,2005,0,0,0,1
30 Even Scarier Movie Moments (TV Mini-Series 2006),5.9,2006,0,0,0,2
Modern Marvels James Bond Gadgets (TV Episode 2002),7,2002,0,0,0,1
Bride Wars - Beste Feindinnen (2009),5.3,2009,1,8,791,123
Rise of the Footsoldier (2007),6.9,2007,0,0,94,71
Hook und das Geisterlicht (Video 2006),6.8,2006,0,0,118,8
Jackie\,http://www.imdb.com/title/tt0015074/,4200,video.movie,0,0,0
König Salomons Diamanten (1950),6.9,1950,2,1,4,64
Medal of Honor: Vanguard (Video Game 2007),7.6,2007,0,0,0,0
Justice League: The New Frontier (Video 2008),7.1,2008,0,2,58,58
The Invincible Iron Man (Video 2007),6,2007,0,0,106,20
Breaking Bad (TV Series 2008–2013),9.6,2008,72,146,16358,597
Heckler (2007),6.2,2007,0,0,10,50
Californication (TV Series 2007– ),8.5,2007,5,25,1618,135
Arjun (2004),6.5,2004,1,1,0,1
Specific Spontaneity: Focus on Lynch (Video 2004),6.9,2004,0,0,0,0
Disney-Land Operation Undersea (TV Episode 1954),8.7,1954,0,0,0,0
Gavin & Stacey (TV Series 2007– ),7.8,2007,11,14,8,26
Aschenputtel (Video 1994),6.4,1994,0,0,0,4
The Making of 'Derailed' (Video 2006),7.7,2006,0,0,0,0
Ananas Express (2008),7,2008,3,5,2528,356
"Andy Barker\, P.I. The Big No Sleep (TV Episode 2007)",7.3,2007,0,0,0,1
"Andy Barker\, P.I. The Lady Varnishes (TV Episode 2007)",8.1,2007,0,0,0,2
Zomergasten Episode #13.2 (TV Episode 2000),,2000,0,0,0,0
Montana (1950),6.2,1950,1,0,3,11
Damages - Im Netz der Macht (TV Series 2007–2012),8.1,2007,8,55,1997,57
Loose Change: Final Cut (Video 2007),7.1,2007,0,0,0,22
Plaguers (2008),2.7,2008,4,0,19,12
Die Simpsons Revenge Is a Dish Best Served Three Times (TV Episode 2007),6.9,2007,0,0,0,0
Crossing Over - Der Traum von Amerika (2009),6.8,2009,0,0,228,70
The Spy Who Loved Me (Video Game 1990),6.6,1990,0,0,0,0
The Graham Norton Show (TV Series 2007– ),8.1,2007,5,9,0,3
Pushing Daisies (TV Series 2007–2009),8.5,2007,17,35,2205,170
"Süß\, aber ein bißchen verrückt The Collaborators (TV Episode 1967)",,1967,0,0,0,0
Loft - Tödliche Affären (2008),7.5,2008,0,0,0,24
Stars in der Manege (TV Series 1959– ),5.4,1959,0,0,0,0
Portal (Video 2009),3.4,2009,0,0,0,8
Stargate: Continuum (Video 2008),7.5,2008,3,10,45,31
Supercroc (2007),2,2007,0,0,0,18
The Secret Life of Brian (TV Movie 2007),7.5,2007,0,0,0,2
Rabbit Hole (2010),7,2010,4,29,1858,135
In Plain Sight - In der Schusslinie (TV Series 2008–2012),7.2,2008,0,0,637,32
Hammys Bumerang Abenteuer (Video 2006),6.4,2006,0,0,0,1
Screenwipe Screenwipe USA (TV Episode 2006),7.6,2006,0,0,0,0
Die Legende von Aang (2010),4.4,2010,6,11,3006,1306
Tôkyô sonata (2008),7.6,2008,11,4,87,30
South Park With Apologies to Jesse Jackson (TV Episode 2007),8.6,2007,0,0,0,6
Arthur und die Minimoys - Die Rückkehr des Bösen M (2009),5.2,2009,0,0,0,9
Comedy Connections One Foot in the Grave (TV Episode 2007),,2007,0,0,0,0
The Daily Show Robin Wright Penn (TV Episode 2007),6.3,2007,0,0,0,0
Ghost Whisperer - Stimmen aus dem Jenseits The Cradle Will Rock (TV Episode 2007),7.6,2007,0,0,0,0
Shelter (2007),7.9,2007,11,0,25,68
Good Dick (2008),6.5,2008,1,1,35,49
Lifted (2006),8,2006,0,0,55,78
Skins - Hautnah Maxxie and Anwar (TV Episode 2007),8.5,2007,0,0,0,0
Reel Bad Arabs: How Hollywood Vilifies a People (Video 2006),7.6,2006,0,0,3,7
Bam's Unholy Union (TV Series 2007– ),5.9,2007,0,0,0,0
The Life & Times of Tim (TV Series 2008– ),8.1,2008,0,0,64,14
Raiders of Tomahawk Creek (1950),6.8,1950,0,0,0,0
Arn: Riket vid vägens slut (2008),6.5,2008,1,1,0,15
Mad Money (2008),5.7,2008,0,0,135,48
Shotgun Stories (2007),7.3,2007,5,5,261,29
The Making of 'Severance' (Video 2007),7.1,2007,0,0,0,0
Tsuneni: zoku san-chôme no yûhi (2007),7.5,2007,3,14,0,4
HypaSpace Episode #6.20 (TV Episode 2007),,2007,0,0,0,0
Svengoolie The People Under the Stairs (TV Episode 2007),,2007,0,0,0,0
Bachelor Party 2 - Die große Sause (Video 2008),5.2,2008,0,0,5,10
Helmer & søn (2006),6.9,2006,0,0,0,5
Moonlight (TV Series 2007–2008),7.7,2007,2,0,230,161
HypaSpace Episode #6.25 (TV Episode 2007),,2007,0,0,0,0
First Person Shooter Sequence (Video 2006),7.8,2006,0,0,0,1
Ghost Whisperer - Stimmen aus dem Jenseits Delia's First Ghost (TV Episode 2007),7.4,2007,0,0,0,1
Rio Grande (1950),7.3,1950,0,0,54,71
Screenwipe Episode #3.1 (TV Episode 2007),7.7,2007,0,0,0,0
Ein Monster in Paris (2011),6.7,2011,0,0,57,31
Cabin Fever 2: Spring Fever (2009),4.3,2009,0,0,131,86
The Young Victoria (2009),7.3,2009,10,14,934,93
Ban the Sadist Videos! Part 2 (Video 2006),7.1,2006,0,0,0,1
Ruinen (2008),5.9,2008,0,0,248,338
Rakete Mond startet (1950),4.9,1950,0,0,7,52
Duell der Magier (2010),6.2,2010,1,1,1025,229
Inside the Barn: Creating Isolation (Video 2007),,2007,0,0,0,0
Fashion (2008),6.9,2008,7,3,701,39
U.S. Marshals: Justice Under the Star (Video 1998),5.6,1998,0,0,0,1
Jäähyväiset lasihevoselle (TV Series 1985– ),,1985,0,0,0,0
Herr der rauhen Berge (1950),6.9,1950,0,0,112,20
San taam (2007),7.3,2007,6,8,33,22
The 59th Primetime Emmy Awards (2007),5.2,2007,0,0,0,1
Arielle\,http://www.imdb.com/title/tt0969647/,4620,video.movie,0,2,13
Pasila (TV Series 2007– ),8.4,2007,2,1,0,0
Die schwarze Lawine (1950),6.9,1950,0,0,0,14
Meine Frau\,http://www.imdb.com/title/tt0970866/,5880,video.movie,3,74,1806
Vennela (2005),6.9,2005,0,0,0,1
Rescue Me Commitment (TV Episode 2007),7.6,2007,0,0,0,0
Private Practice (TV Series 2007–2013),6.5,2007,8,21,3565,34
iCarly (TV Series 2007–2012),6.5,2007,11,53,10,111
Creation (2009),6.8,2009,0,0,261,72
Mein Leben (TV Series 2001– ),7.7,2001,0,0,0,0
Elegy oder die Kunst zu lieben (2008),6.8,2008,3,5,147,105
American Pie präsentiert: Die College-Clique (Video 2007),5.3,2007,0,0,11,57
Best! Movies! Ever! Rants (TV Episode 2007),,2007,0,0,0,0
Side Street (1949),7.2,1949,0,0,9,28
Hitchcock (2012),6.9,2012,4,16,1559,202
Greek (TV Series 2007– ),7.5,2007,0,0,905,26
Tokio! (2008),7.1,2008,2,2,0,24
Common Sacrifice (Video 2006),,2006,0,0,0,0
The Spectacular Spider-Man (TV Series 2008–2009),8.1,2008,0,0,99,24
Staten Island (2009),5.9,2009,0,0,0,24
Game K N B Episode dated 3 March 2007 (TV Episode 2007),,2007,0,0,0,0
Try Before You Die Episode #1.4 (TV Episode 2005),,2005,0,0,0,0
Die rote Lola (1950),7.1,1950,2,1,93,87
Hero Wanted (2008),5.7,2008,0,0,27,33
Fair Game (2010),6.8,2010,1,8,873,120
Bhagyalakshmi Bumper Draw (2006),5.1,2006,0,0,0,1
Sucker Punch (2011),6.1,2011,1,3,4554,890
Summer Stock (1950),7.3,1950,0,0,29,48
Nick und Norah - Soundtrack einer Nacht (2008),6.7,2008,0,0,315,124
Strictly Background (2007),7.1,2007,1,0,4,11
Byôsoku 5 senchimêtoru (2007),7.9,2007,1,0,0,54
Kitchen Nightmares (TV Series 2007– ),7.4,2007,0,0,271,20
South Park Fantastic Easter Special (TV Episode 2007),8.3,2007,0,0,0,4
Dark Floors (2008),4.5,2008,0,0,37,79
Mikaël (1924),7.3,1924,0,0,0,18
Les guignols de l'info Episode dated 13 March 2007 (TV Episode 2007),,2007,0,0,0,0
Machete (2010),6.7,2010,2,4,3989,377
Traitor (2008),7,2008,0,0,183,128
Texas Tom (1950),7.2,1950,0,0,0,10
27 Dresses (2008),6.1,2008,5,3,24,151
Panel Quiz Attack 25 (TV Series 1975– ),,1975,0,0,0,0
Jeena Isi Ka Naam Hai (TV Series 2002– ),8.3,2002,0,0,0,1
Checking Out: Grand Hotel (Video 2004),2.8,2004,0,0,0,0
Like a dragon (2007),6.4,2007,0,0,0,6
Weakest link: Hitori gachi no hôsoku Episode #1.1 (TV Episode 2002),,2002,0,0,0,0
Paul Merton: The Series Episode #1.1 (TV Episode 1991),6.6,1991,0,0,0,1
Em (2008),6.1,2008,5,0,4,10
Un conte de Noël (2008),7.1,2008,9,20,411,26
Dead Air (2009),5.3,2009,0,0,0,22
Dhol (2007),5.7,2007,0,0,0,9
Drei kleine Worte (1950),7.1,1950,1,2,11,31
Ek Chalis Ki Last Local (2007),7.4,2007,0,0,45,22
No Smoking (2007),7.1,2007,0,0,0,46
Generation Kill (TV Mini-Series 2008),8.8,2008,3,15,391,64
The Courier (2012),4.5,2012,0,0,48,25
Darker than black: Kuro no keiyakusha (TV Series 2007– ),8.1,2007,0,0,0,13
Chanson der Liebe (2007),7.2,2007,4,9,239,26
Me Luv U Long Time 11 (Video 2007),,2007,0,0,0,0
Pokémon Ranger und der Tempel des Meeres (2006),6.4,2006,0,0,0,0
Recount - Florida zählt nach (TV Movie 2008),7.5,2008,8,23,423,62
Sex and the City: Der Film (2008),5.4,2008,1,11,302,467
Megamind (2010),7.3,2010,1,13,1028,177
Witless Protection (2008),3.1,2008,0,0,52,20
Best! Movies! Ever! Chases (TV Episode 2007),,2007,0,0,0,0
Westlich St. Louis (1950),7.2,1950,0,0,16,40
Prevodachkata na cherno-beli filmi (2007),7,2007,0,0,0,0
Barbie Fairytopia: Magic of the Rainbow (Video 2007),5.7,2007,2,2,0,4
The Dialogue: An Interview with Screenwriter Jim Uhls (Video 2006),8.7,2006,0,0,0,0
Redbelt (2008),6.8,2008,0,0,103,115
Die Tudors Destiny and Fortune (TV Episode 2008),8.8,2008,0,0,0,1
Home (2009),8.6,2009,1,1,53,42
Faustrecht der Großstadt (1950),7.7,1950,0,0,18,96
En souvenir de nous (2007),6.2,2007,0,0,0,0
Colossus,,,0,0,0,0
Mogari no mori (2007),7.3,2007,3,1,0,11
Enron: The Smartest Guys in the Room (2005),7.7,2005,3,3,260,31
Crows Zero (2007),7.2,2007,1,2,0,17
Logic Room - Der Tod ist unberechenbar (2007),6.7,2007,4,1,0,28
Eine für 4 - Unterwegs in Sachen Liebe (2008),6.2,2008,0,0,36,32
A Serious Man (2009),7,2009,26,45,1543,304
The Dicks of Hazzard (Video 2006),,2006,0,0,0,0
Eden Lake (2008),6.9,2008,7,6,525,322
Die Liebesfälscher (2010),7.2,2010,10,11,520,75
Der Navigator (1924),8.1,1924,0,0,12,43
Mang shan (2007),7.4,2007,3,1,0,17
Step Up to the Streets (2008),6.1,2008,2,3,207,107
Il Divo - Der Göttliche (2008),7.3,2008,19,23,131,43
Doghouse (2009),6.1,2009,0,0,225,48
Wild Child - Erstklassig zickig (2008),6,2008,0,0,140,45
The Wayne Train (TV Movie 1973),5.8,1973,0,0,0,1
MTV Video Music Awards 2007 (2007),3.7,2007,0,0,0,3
Om Shanti Om (2007),6.7,2007,32,21,604,142
The Red Skelton Show (TV Series 1951–2013),8,2013,3,16,22,8
Secretariat - Ein Pferd wird zur Legende (2010),7.2,2010,2,5,781,131
Martyrs (2008),7.1,2008,5,5,392,346
The Dialogue: An Interview with Screenwriter Jose Rivera (Video 2006),,2006,0,0,0,0
Splinter (2008),6.1,2008,7,1,183,115
I Love You\,http://www.imdb.com/title/tt1032815/,6120,video.movie,1,15,4
Die Band von Nebenan (2007),7.6,2007,46,13,5,58
Love Vegas (2008),6.1,2008,2,3,618,144
Viel Lärm um nichts (TV Movie 2007),,2007,0,0,0,0
Weeds: Vermeintliche Vorstadtidylle (TV Movie 2005),6.4,2005,0,0,0,0
"Mensch\, Derek! Not So Sweet Sixteen (TV Episode 2007)",8.5,2007,0,0,0,0
A Complete History of My Sexual Failures (2008),6.3,2008,1,4,0,28
Den Hals in der Schlinge (1951),6.8,1951,0,0,4,15
Comedy Central Roast of Flavor Flav (TV Movie 2007),7.1,2007,0,0,0,0
Pulse 2: Afterlife (Video 2008),3.6,2008,0,0,0,22
Legion (2010),5.1,2010,0,0,1286,298
Der Kautions-Cop (2010),5.4,2010,1,5,1288,130
The Union: The Business Behind Getting High (2007),8.4,2007,2,2,0,11
Nanayomachi (2008),7.6,2008,0,0,0,2
Ein Amerikaner in Paris (1951),7.3,1951,4,7,127,125
100 Years of John Wayne (TV Movie 2007),7.1,2007,1,0,0,0
Delhi-6 (2009),6.1,2009,2,7,151,86
JONAS - Die Serie (TV Series 2009–2010),4.5,2009,5,6,1367,34
The NBA on TNT (TV Series 1988– ),7.5,1988,0,0,0,0
Tales from the Script (2009),7.1,2009,0,0,18,7
Saturday Night Live: The Best of Commercial Parodies (TV Movie 2005),7,2005,0,0,0,1
I Love You Phillip Morris (2009),6.7,2009,3,5,783,150
G.I. Joe - Geheimauftrag Cobra (2009),5.8,2009,3,11,1671,527
Hollywood on Set Ocean's Thirteen/Day Watch/Hostel: Part II (TV Episode 2007),3,2007,0,0,0,0
HBO First Look Rush Hour 3 (TV Episode 2007),7.3,2007,0,0,0,0
In the Hands of the Gods (2007),7.3,2007,0,0,0,7
The Sopranos: A Sitdown (TV Movie 2007),8,2007,0,0,0,0
Baazi (1951),7.5,1951,0,0,0,3
True Blood The First Taste (TV Episode 2008),8.1,2008,0,0,0,5
Repo Men (2010),6.3,2010,0,0,757,177
